Fecha,Localidad,lat,lon,Nubosidad,Humedad,Precipitacion,Zona
2024-10-31,USAQUEN,4.6882,-74.0298,75.0,63.0,15.2,Norte
2024-11-01,USAQUEN,4.6882,-74.0298,70.0,85.0,3.68,Norte
2024-11-02,USAQUEN,4.6882,-74.0298,40.0,52.0,0.0,Norte
2024-11-03,USAQUEN,4.6882,-74.0298,92.0,86.0,1.7,Norte
2024-11-04,USAQUEN,4.6882,-74.0298,100.0,77.0,6.07,Norte
2024-11-05,USAQUEN,4.6882,-74.0298,40.0,55.0,0.0,Norte
2024-11-06,USAQUEN,4.6882,-74.0298,63.0,62.0,4.22,Norte
2024-11-07,USAQUEN,4.6882,-74.0298,82.0,71.0,17.93,Norte
2024-11-08,USAQUEN,4.6882,-74.0298,100.0,94.0,2.67,Norte
2024-11-09,USAQUEN,4.6882,-74.0298,100.0,94.0,10.71,Norte
2024-11-10,USAQUEN,4.6882,-74.0298,100.0,95.0,4.55,Norte
2024-11-11,USAQUEN,4.6882,-74.0298,100.0,75.0,7.45,Norte
2024-11-12,USAQUEN,4.6882,-74.0298,75.0,68.0,0.0,Norte
2024-11-13,USAQUEN,4.6882,-74.0298,89.0,55.0,0.75,Norte
2024-11-14,USAQUEN,4.6882,-74.0298,100.0,94.0,8.74,Norte
2024-11-15,USAQUEN,4.6882,-74.0298,80.0,72.0,0.9,Norte
2024-11-16,USAQUEN,4.6882,-74.0298,100.0,67.0,1.94,Norte
2024-11-17,USAQUEN,4.6882,-74.0298,93.0,63.0,0.0,Norte
2024-11-18,USAQUEN,4.6882,-74.0298,71.0,59.0,3.88,Norte
2024-11-19,USAQUEN,4.6882,-74.0298,100.0,77.0,3.65,Norte
2024-11-20,USAQUEN,4.6882,-74.0298,57.0,72.0,9.97,Norte
2024-11-21,USAQUEN,4.6882,-74.0298,98.0,88.0,12.06,Norte
2024-11-22,USAQUEN,4.6882,-74.0298,93.0,75.0,9.96,Norte
2024-11-23,USAQUEN,4.6882,-74.0298,100.0,93.0,0.52,Norte
2024-11-24,USAQUEN,4.6882,-74.0298,75.0,72.0,0.0,Norte
2024-11-25,USAQUEN,4.6882,-74.0298,87.0,59.0,0.0,Norte
2024-11-26,USAQUEN,4.6882,-74.0298,83.0,63.0,0.0,Norte
2024-11-27,USAQUEN,4.6882,-74.0298,40.0,48.0,0.0,Norte
2024-11-28,USAQUEN,4.6882,-74.0298,100.0,55.0,0.34,Norte
2024-11-29,USAQUEN,4.6882,-74.0298,98.0,76.0,0.0,Norte
2024-11-30,USAQUEN,4.6882,-74.0298,90.0,45.0,0.0,Norte
